SUBJECT.NAME	Biochem.Albumin	Biochem.ALP	Biochem.ALT	Biochem.AST	Biochem.Calcium	Biochem.Chloride	Biochem.Creatinine	Biochem.Glucose	Biochem.HDL	Biochem.LDL	Biochem.Phosphorous	Biochem.Potassium	Biochem.Sodium	Biochem.Tot.Cholesterol	Biochem.Tot.Protein	Biochem.Triglycerides	Biochem.Urea	EndNormalBW	Date.StudyDay	Date.Season	Date.Month	Date.Year	Family	GENDER	Age	CageDensity	Litter
A052848257	30.8	170	25	96	2.12	95	17	11.28	1.07	0.39	2.7	NA	131	2.21	47.2	0.2	8.1	19.1	229	autumn	9	2003	D1.3:G3.2(5) D1.3:C2.2(3)	F	68	3	3
A052849122	27	NA	22	65	2.05	98	NA	NA	2.16	0.51	2.65	NA	123	3.48	50.6	NA	6.5	30.2	202	summer	8	2003	G1.3:B1.2(3) G1.3:F3.2(3)	M	63	4	1
A052849123	28.7	73	NA	NA	1.59	82	21	10.46	0.83	0.33	2.41	NA	114	2.74	45	NA	7.5	19.7	159	summer	6	2003	D4.3:G3.2(4) D4.3:C1.2(5)	F	66	5	1
A052851552	30.2	90	NA	403	2	92	21	5.41	1.48	0.52	2.92	NA	127	3.59	51.8	NA	8.2	20.5	166	summer	7	2003	G3.3:B1.2(4) G3.3:F1.2(4)	F	65	6	2
A052852067	31.5	155	32	147	2.12	97	20	11.12	2.24	0.55	2.47	NA	138	3.7	53.5	0.83	10	21.4	215	summer	8	2003	F1.3:A1.2(3) F1.3:E2.2(3)	M	64	5	3
A052852070	27.7	117	31	75	2.09	100	20	9.35	2.07	0.48	2.39	NA	136	3.2	48.4	0.42	9.4	31.7	172	summer	7	2003	C1.3:F3.2(3) C1.3:B1.2(3)	M	65	5	3
A052853802	32.2	NA	NA	NA	1.72	90	NA	3.76	1.35	0.41	2.59	NA	113	4.35	55	NA	7.1	22	202	summer	8	2003	UnknownFather6 UnknownMother6	M	65	6	1
A052854269	30.5	NA	49	92	2.1	104	23	8.11	1.21	0.35	2.39	NA	130	2.65	50	0.98	6.9	24.9	215	summer	8	2003	D4.3:G3.2(4) D4.3:C1.2(5)	M	66	3	3
A052856103	35	116	37	191	2	87	24	10.89	1.98	0.65	2.82	NA	123	4.93	NA	0.53	6.5	26	158	summer	6	2003	D1.3:G3.2(5) D1.3:C2.2(3)	M	66	7	1
A052857123	29.5	136	19	65	NA	105	21	7.84	1.93	0.41	2.22	NA	139	2.87	NA	0.34	NA	27.3	186	summer	7	2003	H2.3:C5.2(3) H2.3:G2.2(3)	M	67	4	3
A052857857	27.8	110	28	117	NA	100	18	10.98	1.83	0.33	2.49	NA	135	2.99	NA	1	NA	28.8	192	summer	7	2003	H5.3:C2.2(6) H5.3:G5.2(4)	M	65	6	2
A052858890	30	85	33	136	2.06	96	21	6.99	2.21	0.4	2.32	NA	129	3.79	55.6	0.79	7.7	27.9	172	summer	7	2003	B5.3:E1.2(5) B5.3:A2.2(5)	M	65	6	2
A052861821	28.4	132	59	162	2.06	95	19	7.65	2.08	0.39	2.59	NA	129	3.5	53.2	0.49	9.4	26.7	172	summer	7	2003	B5.3:E1.2(5) B5.3:A2.2(5)	M	65	6	2
A052862319	33.4	51	33	162	2.02	90	18	12.24	2.04	0.42	2.86	NA	127	3.9	59.3	0.22	7.3	23.9	173	summer	7	2003	G4.3:B5.2(3) G4.3:F2.2(3)	F	71	7	4
A052863022	30.1	105	32	125	1.88	97	23	11.7	1.53	0.57	2.71	NA	137	4.82	54.8	0.13	5.7	28.4	221	summer	8	2003	E5.3:H5.2(6) E5.3:D3.2(5)	M	67	6	2
A052870852	31.6	184	20	95	2.09	93	18	8.85	1.28	0.4	2.64	NA	129	2.39	50.5	0.31	5.7	25.6	201	summer	8	2003	G1.3:B1.2(3) G1.3:F3.2(3)	F	64	5	1
A052873779	31	NA	31	121	1.94	94	NA	6.73	1.53	0.34	2.14	NA	127	3.5	55	0.24	5.2	23.1	165	summer	7	2003	UnknownFather3 UnknownMother3	M	66	4	2
A052877118	25.9	129	21	76	2.04	96	20	10.23	2.08	0.32	2.07	NA	128	3.15	47.2	0.65	6	28.9	215	summer	8	2003	H5.3:C2.2(6) H5.3:G5.2(4)	M	63	4	3
A052888127	28.6	133	35	125	1.88	97	18	6.8	1.88	0.46	3.23	NA	137	3.92	49.7	0.27	9.5	23	221	summer	8	2003	F2.3:A1.2(5) F2.3:E4.2(4)	M	67	6	3
A052888590	30.3	90	52	308	NA	100	18	4.84	1.96	0.42	2.7	NA	134	3.37	NA	0.32	NA	18.9	187	summer	7	2003	F5.3:E2.2(6) F5.3:A3.2(5)	F	67	4	1
A052888591	33.3	164	73	155	NA	104	26	NA	2.71	0.64	1.89	8.5	142	3.91	NA	0.8	NA	26.6	192	summer	7	2003	C1.3:F3.2(3) C1.3:B1.2(3)	M	64	6	4
A052892316	32.1	167	34	121	2.21	97	17	8.65	1.26	0.42	2.96	NA	134	2.46	53.7	0.17	7.2	23.9	173	summer	7	2003	C1.3:F3.2(3) C1.3:B1.2(3)	F	66	3	3
A052892872	28.6	153	71	299	1.91	92	17	5.79	1.13	0.34	2.47	NA	123	2.28	45.9	0.21	7.5	23.6	152	summer	6	2003	C1.3:F3.2(3) C1.3:B1.2(3)	F	67	5	2
A052893788	25.6	116	20	79	2.09	92	20	NA	1.08	0.3	1.87	NA	127	1.96	44.4	0.32	6.4	18.9	180	summer	7	2003	A2.3:D5.2(3) A2.3:H3.2(3)	F	66	4	2
A053007310	30.5	181	28	111	NA	102	21	10.36	2.89	0.61	1.99	NA	136	4.46	NA	0.44	NA	26	186	summer	7	2003	E4.3:H4.2(4) E4.3:D3.2(3)	M	65	4	2
A053013093	24.1	139	38	102	2	97	25	13.83	1.6	0.31	1.84	NA	138	2.4	46.9	0.17	7.9	27.6	215	summer	8	2003	H5.3:C2.2(6) H5.3:G5.2(4)	M	63	4	3
A053023380	28.8	100	29	128	1.89	88	NA	5.89	1.3	0.29	2.76	NA	121	3.04	46.4	0.14	8.3	22.3	229	autumn	9	2003	G5.3:B2.2(5) G5.3:F2.2(7)	F	66	5	3
A053024601	30.9	147	25	64	2.2	95	20	12.48	1.64	0.49	2.53	NA	131	2.85	49.9	0.65	7.1	28.1	228	autumn	9	2003	G1.3:B1.2(3) G1.3:F3.2(3)	M	66	4	2
A053026587	28.6	90	33	142	NA	100	18	6.7	1.81	0.4	2.04	NA	131	3.41	NA	0.5	NA	27.5	186	summer	7	2003	G5.3:B2.2(5) G5.3:F2.2(7)	M	67	4	2
A053026818	28.7	84	81	417	1.83	93	20	10.41	1.38	0.39	1.9	NA	124	2.87	47.6	NA	5.3	20	166	summer	7	2003	H5.3:C2.2(6) H5.3:G5.2(4)	F	65	4	1
A053027117	33.7	118	25	86	2.19	89	NA	11.02	1.56	0.42	3.58	NA	124	3.1	53.1	0.24	7.6	24.3	201	summer	8	2003	UnknownFather6 UnknownMother6	F	66	3	1
A053028102	27.2	121	26	107	2.04	94	NA	5.12	1	0.27	3.2	NA	129	1.86	44.9	0.65	8.3	21.7	229	autumn	9	2003	B1.4:E1.3(3) B1.4:A2.3(2)	F	66	4	2
A053029369	28.4	89	76	327	1.8	94	NA	6	1.21	0.23	2.35	NA	129	2.4	43.5	0.15	8.8	19.7	222	summer	8	2003	E5.3:H5.2(6) E5.3:D3.2(5)	F	68	4	2
A053029791	32.2	109	29	138	2.1	97	NA	12.27	1.52	0.47	2.75	NA	137	3.63	51.6	NA	6.9	18.7	214	summer	8	2003	F1.3:A1.2(3) F1.3:E2.2(3)	F	65	4	3
A053030292	32.1	81	34	106	2.16	90	20	2.92	NA	NA	2.88	NA	129	4.16	58	0.32	8	27.7	165	summer	7	2003	UnknownFather3 UnknownMother3	M	66	4	2
A053031772	NA	63	NA	NA	NA	85	18	7.26	0.66	0.19	2.4	NA	114	2.18	NA	NA	10.7	22.1	159	summer	6	2003	G5.3:B2.2(5) G5.3:F2.2(7)	F	66	4	1
A053035844	29.9	116	31	93	2.11	97	23	NA	2.08	0.33	2.14	NA	137	3.14	52.4	NA	8.4	24.8	208	summer	8	2003	B1.4:E1.3(3) B1.4:A2.3(2)	M	68	4	1
A053037776	30	75	55	193	1.91	91	18	8.94	1.71	0.28	2.3	NA	122	3.28	51.4	0.37	6.2	21.1	152	summer	6	2003	A4.3:D1.2(5) A4.3:H5.2(4)	F	67	6	1
A053037880	29.8	107	32	133	2.07	87	21	NA	1.46	0.27	3.05	NA	124	2.65	47.1	0.27	10.4	23.3	201	summer	8	2003	UnknownFather6 UnknownMother6	F	66	3	1
A053039570	29.7	131	38	125	1.92	85	NA	6.62	1.2	0.26	2.98	NA	119	2.6	45	0.13	8.6	24.5	222	summer	8	2003	C3.3:F2.2(5) C3.3:B2.2(3)	F	68	4	2
A053042270	36	187	33	125	1.99	83	20	10.52	1.47	0.48	2.87	NA	119	3.86	58.1	NA	9	25	201	summer	8	2003	G1.3:B1.2(3) G1.3:F3.2(3)	F	64	5	1
A053044603	30.3	185	32	110	2.13	97	20	9.1	2.37	0.43	2.8	NA	137	3.85	52.4	0.99	7.6	20.3	208	summer	8	2003	F5.3:E2.2(6) F5.3:A3.2(5)	M	65	5	2
A053048603	30.1	159	32	103	2.1	100	18	5.68	1.75	0.61	2.52	NA	136	3.1	49	0.23	NA	21.5	222	summer	8	2003	F2.3:A1.2(5) F2.3:E4.2(4)	F	68	4	3
A053052635	29.5	NA	33	109	2.11	97	NA	7.01	1.92	0.39	2.91	NA	133	3.94	55.2	0.67	8.6	32.5	202	summer	8	2003	UnknownFather6 UnknownMother6	M	65	6	1
A053053012	30.4	92	32	115	2.09	95	21	9.42	1.64	0.31	3.34	NA	132	2.94	51.9	0.33	10.4	19.6	173	summer	7	2003	G4.3:B5.2(3) G4.3:F2.2(3)	F	71	7	4
A053053096	28	154	24	99	2.03	95	18	11.64	1.65	0.32	2.02	NA	140	2.8	50.2	0.36	4.4	21.6	214	summer	8	2003	H5.3:C2.2(6) H5.3:G5.2(4)	F	64	4	3
A053054340	28.4	112	24	76	NA	100	19	13.12	2.22	0.45	NA	NA	136	3.53	NA	1.21	NA	30.8	192	summer	7	2003	H5.3:C2.2(6) H5.3:G5.2(4)	M	65	6	2
A053054528	30	94	28	150	2.02	95	20	8.38	1.59	0.48	2.27	NA	127	3.34	52.4	0.16	5.7	21.2	166	summer	7	2003	H5.3:C2.2(6) H5.3:G5.2(4)	F	65	4	1
A053057796	28	146	26	162	2.02	93	20	7.84	0.79	0.47	3.03	NA	130	2.73	49.1	NA	8.3	19.6	180	summer	7	2003	B1.3:E2.2(3) B1.3:A2.2(3)	F	65	6	2
A053058379	29.1	119	77	440	1.69	86	NA	3.44	1.05	0.25	2.48	NA	119	2.84	47.1	NA	6.8	14.6	166	summer	7	2003	A1.3:D1.2(3) A1.3:H1.2(3)	F	68	6	2
A053059356	28.2	138	29	114	2.23	100	28	12.78	1.84	0.34	2.45	NA	137	2.94	50.7	0.91	8.6	23.3	158	summer	6	2003	D4.3:G3.2(4) D4.3:C1.2(5)	M	65	5	1
A053063281	28.6	128	31	118	1.96	93	20	10.66	1.05	0.36	2.16	NA	127	2.72	48.9	0.62	6.7	23	173	summer	7	2003	F4.3:A2.2(5) F4.3:E1.2(4)	F	72	4	1
A053063855	30.5	98	66	236	1.98	90	18	5.27	1.42	0.47	2.76	NA	123	3.7	53.5	0.44	8.9	26.4	179	summer	7	2003	D1.3:G3.2(5) D1.3:C2.2(3)	M	65	3	2
A053066863	31	150	33	127	2.21	98	22	NA	2.38	0.46	2.28	NA	136	3.59	52.2	0.44	6.3	19.9	214	summer	8	2003	H5.3:C2.2(6) H5.3:G5.2(4)	F	64	4	3
A053068315	29.2	186	35	138	1.96	106	22	13.08	1.57	0.28	2.66	NA	127	3.1	49.9	0.69	5.7	26.3	215	summer	8	2003	D4.3:G3.2(4) D4.3:C1.2(5)	M	66	3	3
A053068775	27.3	125	25	147	2.09	98	22	7.64	1.88	0.36	2.58	NA	134	3.17	50.8	0.7	9.5	31.1	158	summer	6	2003	G5.3:B2.2(5) G5.3:F2.2(7)	M	65	5	1
A053070383	27	NA	NA	343	2.02	95	NA	9.39	0.99	0.4	2.67	NA	119	2.14	44.1	0.26	8.5	21.3	194	summer	8	2003	A5.3:D1.2(5) A5.3:H3.2(5)	F	67	6	1
A053073028	31	NA	31	115	1.94	91	NA	6.91	2.22	0.49	2.61	NA	123	4.75	57	0.25	7	31.4	202	summer	8	2003	G1.3:B1.2(3) G1.3:F3.2(3)	M	63	4	1
A053074016	25.1	102	40	341	1.81	98	19	6.18	0.91	0.25	3.14	NA	131	1.74	43.3	0.27	7.9	20.5	166	summer	7	2003	G3.3:B1.2(4) G3.3:F1.2(4)	F	65	6	2
A053075376	28.9	178	24	77	2.1	94	22	12.44	1.4	0.42	1.9	NA	140	2.45	47.5	0.37	6	23.1	214	summer	8	2003	C1.3:F3.2(3) C1.3:B1.2(3)	F	66	4	5
A053075572	27.1	NA	NA	NA	1.96	96	NA	6	0.97	0.42	2.52	NA	133	2.33	45.1	0.22	8.5	19.9	194	summer	8	2003	G4.3:B5.2(3) G4.3:F2.2(3)	F	68	6	5
A053075810	25.8	90	NA	272	2.03	100	22	8.63	2.29	0.37	2.86	NA	136	3.14	44.3	0.69	9.2	28.6	172	summer	7	2003	A4.3:D1.2(5) A4.3:H5.2(4)	M	63	5	2
A053076035	30.5	59	36	257	1.93	94	17	7.75	1.85	0.33	2.74	NA	128	3.42	55.1	0.31	9.9	28.4	172	summer	7	2003	A4.3:D1.2(5) A4.3:H5.2(4)	M	63	5	2
A053077810	29.7	74	33	160	1.65	86	17	3.14	NA	0.37	NA	NA	116	3.46	52.3	NA	10.1	27.3	165	summer	7	2003	E2.3:H2.2(3) E2.3:D4.2(2)	M	65	4	3
A053078842	29.8	172	40	111	2.14	101	18	7.39	1.12	0.3	2.31	NA	139	2.07	51.3	0.35	6.3	25	229	autumn	9	2003	B1.4:E1.3(3) B1.4:A2.3(2)	F	66	4	2
A053081284	29.7	103	42	175	1.91	87	18	8.57	1.2	0.3	2.2	NA	118	2.72	48.8	0.36	7.3	16	201	summer	8	2003	A1.3:D1.2(3) A1.3:H1.2(3)	F	66	5	3
A053083824	25.9	NA	71	NA	1.75	94	NA	9.55	1.06	0.26	2.45	NA	128	2.35	41.8	0.2	8.1	21.2	194	summer	8	2003	A5.3:D1.2(5) A5.3:H3.2(5)	F	67	6	1
A053084062	31.9	65	NA	NA	1.71	80	19	7.36	0.62	0.61	2.21	NA	111	3.77	51.8	NA	6.4	19.3	159	summer	6	2003	D4.3:G3.2(4) D4.3:C1.2(5)	F	66	5	1
A053085267	33	150	28	129	2.19	97	20	12.64	1.93	0.31	2.03	NA	137	2.96	52.8	0.19	7.2	15.2	214	summer	8	2003	F1.3:A1.2(3) F1.3:E2.2(3)	F	65	4	3
A053086377	27.2	177	24	87	1.84	97	19	5.63	NA	0.56	2.81	NA	137	4.47	50.5	0.64	8.2	25.9	221	summer	8	2003	C1.4:F1.3(3) C1.4:B4.3(4)	M	63	4	1
A053096770	25.3	75	NA	129	2.18	100	24	5.81	2.07	NA	2.65	NA	134	4.63	52.8	0.55	10.2	25.1	158	summer	6	2003	G5.3:B2.2(5) G5.3:F2.2(7)	M	65	5	1
A053098266	26.2	61	89	NA	1.74	95	20	8.29	1	0.27	2.72	NA	128	2.37	43.6	0.25	7	22.4	173	summer	7	2003	G4.3:B5.2(3) G4.3:F2.2(3)	F	71	7	4
A053100299	33.6	NA	54	138	2.14	88	NA	12.85	2.36	0.33	3.22	NA	123	4.87	NA	0.99	7.5	28.4	202	summer	8	2003	G1.3:B1.2(3) G1.3:F3.2(3)	M	63	4	1
A053101275	26.8	157	20	99	2	98	19	5.94	1.59	NA	2.82	NA	132	2.59	50.4	0.29	7.5	23.5	179	summer	7	2003	A2.3:D5.2(3) A2.3:H3.2(3)	M	65	5	2
A053102110	30.3	82	39	149	1.86	87	22	9.87	2.15	0.47	2.68	NA	118	4.42	54.1	0.25	7.5	22.7	165	summer	7	2003	A1.3:D1.2(3) A1.3:H1.2(3)	M	67	3	2
A053104274	29.4	158	43	127	2.07	90	22	12.97	1.93	0.43	2.25	NA	127	3.47	52.5	0.81	5.4	25.6	158	summer	6	2003	D4.3:G3.2(4) D4.3:C1.2(5)	M	65	5	1
A053104836	26.8	117	44	145	1.97	93	NA	5.78	1.62	0.33	2.16	NA	128	2.56	43.8	0.21	9.5	21.6	222	summer	8	2003	UnknownFather6 UnknownMother6	F	68	4	2
A053106892	27.6	146	38	165	1.81	85	NA	6.99	1.49	0.42	2.32	NA	118	3.03	48.3	NA	11.2	18.5	201	summer	8	2003	F2.3:A1.2(5) F2.3:E4.2(4)	F	64	3	2
A053107519	34.4	NA	36	136	2.11	88	NA	9.22	2.34	0.57	2.61	NA	124	NA	NA	0.28	7.5	30.4	202	summer	8	2003	D2.3:G3.2(3) D2.3:C2.2(3)	M	65	3	1
A053109294	29.9	NA	46	108	2	95	NA	5.31	2.05	0.36	2.8	NA	128	3.67	52.3	0.54	7.9	29.1	202	summer	8	2003	UnknownFather6 UnknownMother6	M	65	6	1
A053111539	28.5	181	40	156	1.82	85	NA	5.78	1.29	0.47	2.53	NA	114	3.04	47.5	0.27	7.3	17.1	201	summer	8	2003	A1.3:D1.2(3) A1.3:H1.2(3)	F	66	5	3
A053113372	26.9	160	34	135	1.93	97	19	6.38	2.09	0.42	2.84	NA	136	3.47	48.7	1.08	6.9	24.3	208	summer	8	2003	F5.3:E2.2(6) F5.3:A3.2(5)	M	65	5	2
A053115580	27.2	86	33	126	1.98	99	19	7.04	2.2	0.36	2.23	NA	134	3.38	47.9	0.31	6.7	25.7	172	summer	7	2003	A4.3:D1.2(5) A4.3:H5.2(4)	M	63	5	2
A053117273	30.4	93	32	134	1.88	88	20	9.88	1.35	0.33	2.24	NA	121	3.58	55.8	NA	7.2	28.1	179	summer	7	2003	B3.3:E1.2(3) B3.3:A2.2(3)	M	65	4	3
A053118815	27.3	85	26	123	1.99	90	20	11.84	1.86	0.33	2	NA	123	3.04	47.9	0.23	7	19.7	159	summer	6	2003	F3.3:A2.2(5) F3.3:E1.2(4)	F	66	5	2
A053119096	31.6	96	32	181	2	89	19	7.06	1.99	0.47	2.63	NA	120	3.62	53.1	0.11	8.6	22.2	152	summer	6	2003	E5.3:H5.2(6) E5.3:D3.2(5)	F	64	5	1
A053121340	30.8	138	37	88	NA	108	24	NA	2.46	0.68	NA	8.5	146	3.74	NA	1.05	NA	31.6	192	summer	7	2003	C1.3:F3.2(3) C1.3:B1.2(3)	M	64	6	4
A053121348	29.5	107	27	131	1.89	87	22	11.07	1.51	0.4	2.6	NA	119	3.47	51	0.93	6.3	21.4	179	summer	7	2003	D1.3:G3.2(5) D1.3:C2.2(3)	M	65	3	2
A053121776	29.8	132	47	249	1.98	102	20	8.21	2.28	0.43	2.87	NA	139	4.01	50.6	0.46	10	24.9	228	autumn	9	2003	F1.4:A2.3(2) F1.4:E1.3(3)	M	67	4	1
A053121786	26.9	149	83	252	NA	89	NA	8.64	NA	0.41	2.86	NA	124	2.45	NA	0.15	NA	19.2	187	summer	7	2003	D4.3:G3.2(4) D4.3:C1.2(5)	F	67	4	2
A053123328	28.4	101	51	147	2.09	86	20	5.09	2.19	0.69	3.03	NA	122	4.01	53.5	0.62	7.9	30.5	158	summer	6	2003	D1.3:G3.2(5) D1.3:C2.2(3)	M	66	7	1
A053126610	29.9	134	27	87	2.05	97	20	12.9	2.01	0.42	2.81	NA	137	4.15	51.7	0.23	6.1	19.2	221	summer	8	2003	E5.3:H5.2(6) E5.3:D3.2(5)	M	67	6	2
A053259595	34	164	35	118	1.88	90	NA	4.83	0.87	0.34	2.79	NA	123	2.87	50.8	NA	6.1	23.6	201	summer	8	2003	G1.3:B1.2(3) G1.3:F3.2(3)	F	64	5	1
A053268028	30.5	NA	41	100	2.05	95	NA	10.27	NA	0.35	2.64	NA	124	3.44	54.8	0.57	7	27.9	202	summer	8	2003	D2.3:G3.2(3) D2.3:C2.2(3)	M	65	3	1
A053273558	23.2	99	25	74	1.99	97	21	7.17	2.3	0.38	2.82	NA	137	3.2	44.6	0.9	5.8	28.8	221	summer	8	2003	F2.3:A1.2(5) F2.3:E4.2(4)	M	67	6	3
A053274515	24.7	89	NA	441	1.81	97	18	9.14	1.92	0.39	2.98	NA	137	3.24	43.1	0.43	7.7	25.3	208	summer	8	2003	F5.3:E2.2(6) F5.3:A3.2(5)	M	65	5	2
A053278519	29.4	168	37	100	2.01	95	19	6.15	1.59	0.79	2.79	NA	128	2.8	47.6	0.23	NA	20.7	222	summer	8	2003	F2.3:A1.2(5) F2.3:E4.2(4)	F	68	4	3
A053278526	28.4	122	28	134	2.05	102	21	7.37	1.79	0.34	2.49	NA	135	3.22	49.5	0.36	9.8	26.7	158	summer	6	2003	G5.3:B2.2(5) G5.3:F2.2(7)	M	65	5	1
A053278534	32.6	86	33	142	2	85	18	10.94	1.69	0.41	3.02	NA	115	3.6	53.4	0.3	7.9	18.2	201	summer	8	2003	A1.3:D1.2(3) A1.3:H1.2(3)	F	66	5	3
A053279798	33.2	89	28	176	1.95	88	18	11.07	1.02	0.41	2.64	NA	124	3.35	52.9	NA	5.7	22.5	173	summer	7	2003	C1.3:F3.2(3) C1.3:B1.2(3)	F	66	3	3
A053306061	22.2	71	NA	406	1.62	86	17	8.07	0.88	0.33	2.07	NA	118	1.98	38.9	0.21	6.5	19.6	159	summer	6	2003	D4.3:G3.2(4) D4.3:C1.2(5)	F	66	5	1
A053309610	26.8	100	29	88	2.24	94	26	13.43	1.86	0.36	2.56	NA	130	2.81	49.5	0.84	7	24.6	158	summer	6	2003	D4.3:G3.2(4) D4.3:C1.2(5)	M	65	5	1
A053310771	32.2	131	24	153	2.02	93	22	10.55	1.54	0.43	3.33	NA	131	3.24	54.9	0.19	12.4	19	180	summer	7	2003	B1.3:E2.2(3) B1.3:A2.2(3)	F	65	6	2
A053311315	31	131	33	150	NA	99	NA	6.74	NA	0.46	2.42	NA	132	2.6	NA	0.1	NA	18.2	187	summer	7	2003	B2.3:E3.2(3) B2.3:A4.2(3)	F	66	4	2
A053314371	28.7	86	44	140	1.86	90	19	6.25	1.93	0.37	2.37	NA	122	3.39	50	0.5	6.6	24.1	151	summer	6	2003	F2.3:A1.2(5) F2.3:E4.2(4)	M	63	4	1
A053315089	30.9	77	26	113	1.99	96	24	7.25	2.11	0.3	2.65	NA	129	3.69	51.6	0.18	8.5	23.4	151	summer	6	2003	C2.3:F2.2(3) C2.3:B2.2(3)	M	64	4	2
A053324619	29.2	150	31	101	1.98	97	22	7.49	NA	0.64	2.31	NA	138	NA	52.7	0.46	7.6	28.9	221	summer	8	2003	C1.4:F1.3(3) C1.4:B4.3(4)	M	63	4	1
A053325548	34.7	135	NA	186	2.01	93	20	5.1	2.11	0.67	3.13	NA	127	4.89	NA	NA	11.4	29.6	179	summer	7	2003	A2.3:D5.2(3) A2.3:H3.2(3)	M	65	5	2
A053325844	26.8	124	42	126	2.08	98	21	6.28	2.09	0.32	2.42	NA	133	2.96	51	0.36	NA	29.9	172	summer	7	2003	C1.3:F3.2(3) C1.3:B1.2(3)	M	65	5	3
A053327308	29.4	152	32	84	2.28	106	27	10.79	2.19	0.49	2.83	7.5	141	3.22	50.5	0.65	9.6	30	158	summer	6	2003	G5.3:B2.2(5) G5.3:F2.2(7)	M	65	5	1
A053327638	28.4	109	26	96	2.09	97	19	7.91	1.89	0.32	2.48	9.5	132	3.39	50.8	0.72	7.8	26.5	179	summer	7	2003	A2.3:D5.2(3) A2.3:H3.2(3)	M	65	5	2
A053328342	21.3	69	70	390	1.69	86	20	10.72	1.02	0.31	2.67	NA	116	2.2	38.3	0.3	9.4	24	159	summer	6	2003	G5.3:B2.2(5) G5.3:F2.2(7)	F	66	4	1
A053328630	31.2	158	32	123	2.07	97	18	8.9	NA	0.42	2.45	NA	137	3.85	52.4	0.39	7.1	23.8	222	summer	8	2003	C1.4:F1.3(3) C1.4:B4.3(4)	F	64	4	1
A053329319	25.5	101	74	405	1.7	92	NA	8.76	1.42	0.33	2.42	NA	121	2.96	43.3	NA	5.2	18.2	173	summer	7	2003	A4.3:D1.2(5) A4.3:H5.2(4)	F	64	2	2
A053334598	33.2	52	29	153	2.01	94	20	9.14	1.42	0.54	2.68	NA	129	3.78	55.2	NA	6.6	18.3	173	summer	7	2003	G4.3:B5.2(3) G4.3:F2.2(3)	F	71	7	4
A053334608	25.4	121	29	94	1.8	97	17	5.83	1.93	0.38	2.51	NA	137	3.57	46.3	0.57	5.1	28	221	summer	8	2003	E5.3:H5.2(6) E5.3:D3.2(5)	M	67	6	2
A053344037	33	97	58	232	1.94	86	17	8.29	1.62	0.52	2.98	NA	119	3.78	54	NA	7.2	21.5	173	summer	7	2003	A4.3:D1.2(5) A4.3:H5.2(4)	F	64	2	2
A053345354	30.9	132	39	185	NA	91	NA	4.8	1.48	0.46	3.01	NA	124	3.39	NA	NA	NA	20.5	187	summer	7	2003	F5.3:E2.2(6) F5.3:A3.2(5)	F	67	4	1
A053347109	30.3	99	26	144	2.02	92	21	14.1	2.28	0.42	2.14	NA	123	3.91	53.2	0.76	6.8	26.8	152	summer	6	2003	E5.3:H5.2(6) E5.3:D3.2(5)	F	64	5	1
A053347351	30	133	32	135	1.88	88	20	13.6	2.12	0.47	2.59	NA	118	4.43	57.6	0.76	6.9	21.9	165	summer	7	2003	F4.3:A2.2(5) F4.3:E1.2(4)	M	64	4	1
A053347368	27.4	124	32	105	1.87	84	NA	13.31	1.2	0.39	2.25	NA	114	3.05	43.9	0.47	6.2	20.7	229	autumn	9	2003	F1.4:A2.3(2) F1.4:E1.3(3)	F	68	4	1
A053348357	29.7	NA	51	131	1.91	81	NA	8.31	1.56	0.45	2.59	7.9	137	3.72	53.6	0.79	8.8	28.3	202	summer	8	2003	UnknownFather6 UnknownMother6	M	65	6	1
A053349036	28.6	84	31	182	1.95	91	22	9.11	1.64	0.22	2.03	NA	125	2.63	48.7	0.44	5.1	20.8	152	summer	6	2003	A4.3:D1.2(5) A4.3:H5.2(4)	F	67	6	1
A053349313	31.2	153	42	184	2.21	98	24	13.96	1.97	0.36	2.54	NA	133	3.25	53.6	1.3	5.4	24.4	158	summer	6	2003	D4.3:G3.2(4) D4.3:C1.2(5)	M	65	5	1
A053350345	29.4	61	24	120	1.98	94	23	8.68	2.37	0.34	2.57	NA	125	4.11	51.8	0.21	7.5	33.1	151	summer	6	2003	C2.3:F2.2(3) C2.3:B2.2(3)	M	64	4	2
A053350557	28	93	62	NA	NA	102	NA	9.44	1.32	0.36	2.88	NA	138	2.78	NA	0.12	NA	23	187	summer	7	2003	B2.3:E3.2(3) B2.3:A4.2(3)	F	66	4	2
A053357326	26.6	97	25	67	1.93	98	20	7.18	1.44	0.21	2.51	NA	131	2.21	48	0.36	7.8	26.5	172	summer	7	2003	B5.3:E1.2(5) B5.3:A2.2(5)	M	65	6	2
A053357344	31.2	121	22	102	2.05	96	NA	6.89	1.25	0.27	2.62	NA	131	2.33	53.2	0.31	6.6	22.7	166	summer	7	2003	G3.3:B1.2(4) G3.3:F1.2(4)	F	65	6	2
A053363022	30.3	91	24	161	2.02	93	22	10.41	1.54	0.51	2.64	NA	126	3.47	51	0.3	10.3	18.8	159	summer	6	2003	G5.3:B2.2(5) G5.3:F2.2(7)	F	66	4	1
A053363287	27.8	101	29	90	NA	97	19	11.02	2.02	0.43	2.41	NA	135	3.3	NA	0.91	NA	29.2	192	summer	7	2003	A5.2:D1.2(5) A5.2:H3.2(5)	M	66	4	1
