SUBJECT.NAME	Biochem.Albumin	Biochem.ALP	Biochem.ALT	Biochem.AST	Biochem.Calcium	Biochem.Chloride	Biochem.Creatinine	Biochem.Glucose	Biochem.HDL	Biochem.LDL	Biochem.Phosphorous	Biochem.Potassium	Biochem.Sodium	Biochem.Tot.Cholesterol	Biochem.Tot.Protein	Biochem.Triglycerides	Biochem.Urea	EndNormalBW	Date.StudyDay	Date.Season	Date.Month	Date.Year	Family	GENDER	Age	CageDensity	Litter
A048031067	33.2	148	37	167	2.39	114	20	4.97	1.56	0.38	2.91	7.9	148	2.24	49.9	0.46	9	18.6	NA	NA	NA	NA	A3.2:D2.1(5) A3.2:H4.1(5)	F	67	6	2
A048031355	34.5	229	30	142	2.56	111	19	5.91	2.03	0.38	2.7	6.7	147	2.84	50.7	0.36	6.9	21.3	NA	NA	NA	NA	F3.2:A2.1(5) F3.2:E4.1(5)	F	61	4	1
A048031545	32.8	71	30	167	1.8	89	NA	3.77	1.36	NA	3.08	NA	119	3.48	39.1	NA	9.7	17.4	124	spring	5	2003	D3.2:G2.1(5) D3.2:C5.1(5)	F	68	4	6
A048031876	29.4	165	43	62	2.4	113	21	8.24	2.82	0.61	2.51	7.8	147	3.82	50.3	0.87	9.1	30.3	NA	NA	NA	NA	F1.2:A1.1(4) F1.2:E2.1(5)	M	65	5	1
A048031885	28	204	22	101	2.21	111	19	4.52	1.38	0.3	3.14	NA	143	2.09	43.1	0.31	10	20.3	NA	NA	NA	NA	E5.2:H5.1(4) E5.2:D4.1(4)	F	63	7	1
A048032099	26.7	165	33	108	2.08	107	20	6.23	1.56	0.49	3.07	7.2	138	2.42	46.5	0.46	9	22.7	NA	NA	NA	NA	C4.2:F3.1(5) C4.2:B5.1(4)	M	60	4	1
A048032883	28.9	112	44	380	2	91	NA	10.4	1.04	0.44	2.67	NA	124	2.32	47.5	0.12	7.1	19.9	144	summer	6	2003	B5.3:E1.2(5) B5.3:A2.2(5)	M	64	5	1
A048033069	NA	204	33	NA	2.33	106	18	5.99	NA	NA	NA	NA	139	NA	NA	NA	9.1	22	NA	NA	NA	NA	H4.2:C5.1(4) H4.2:G1.1(7)	M	60	5	2
A048033097	24.5	130	21	84	1.88	97	NA	8.06	1.1	0.32	2.13	NA	127	1.86	40.3	0.23	7.1	16.2	NA	NA	NA	NA	G5.2:B5.1(4) G5.2:F5.1(2)	F	63	6	1
A048033354	32.8	149	31	136	2.14	99	18	12.79	1.56	0.33	2.32	NA	133	2.59	52.1	0.29	9.4	16.1	NA	NA	NA	NA	B1.2:E3.1(5) B1.2:A1.1(4)	F	64	5	1
